TZS5302961,0
MRF7916076,0
PSJ1427388,0
AWU8840406,0
QFA6300208,0
WGE5449029,0
NHV9305076,0
GRH1886730,0
NVE7216627,0
AUZ6141197,0
HHN3981804,0
POA3870560,0
CJH6617773,0
VBW1932011,0
PRO8922233,0
RWB8266470,0
USL8233174,1
IAL2071533,1
YED9291401,1
OPV6937636,1
DSQ8956653,1
GZW2341439,1
RMZ1459782,1
DYJ5422594,1
ZMJ7558892,1
TME9293532,1
GUW6340033,1
YBL9674521,1
YHG6228146,1
RKE2337912,1
AAE4197005,1
YVM2625829,1
JFP4518515,1
VHR5014367,1
QZW2981192,1
IYJ6526548,1
EEE6215115,1
TNF9967097,1
URN5286000,1
UVN1853334,1
XGC1252828,1
NYE1076919,1
RBB9364208,1
UZB5407601,1
RCM8526461,1
IMO5047929,1
EVS8030308,1
VCV1002763,1
RVB4130035,1
