KCA9355198,1
YDN5976721,1
SLV8466594,1
INJ5605988,1
OOZ7097366,1
ASC7476917,1
UTI9520749,1
WQN4264270,1
XQA3057308,1
IKP8501186,1
FYW4103858,1
MZT8386364,1
BUT2690260,1
YHL4061749,1
JVK4561525,1
GFT5519680,1
BHM9367384,1
JLR9857919,1
KPN5333286,1
IVI8176464,1
QHH5431850,1
CYH3556477,1
DQX7917200,1
SEE8482888,1
EAU1572517,1
NHP9215400,1
IUU7888956,1
VTK6400919,1
PQP4534835,1
TNG9391899,1
WMC8215202,1
LSC4326965,1
PYC4444412,1
SFK1826426,1
CCW6603929,1
NXF5585372,1
PNR2016514,1
VAA6457067,1
KYZ8108866,1
NIC5098454,1
ZEP5064704,1
JDL2107205,1
MBE6944706,1
FKH2608870,1
EDR9103384,1
RTI7278612,1
EYE4870369,1
CYA5619247,1
CBE8227783,1
DMK5567229,1
